<14:10:49.566>Received FJDBC: INSERT INTO BUCHUNG VALUES (200, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', -200, 243)
<14:10:49.567>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (200, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', -200, 243)
<14:10:49.598>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (200, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', -200, 243)
<14:10:49.605>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (200, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', -200, 243)
<14:10:49.622>Received FJDBC: INSERT INTO BUCHUNG VALUES (201, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', 300, NULL)
<14:10:49.623>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (201, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', 300, NULL)
<14:10:49.629>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (201, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', 300, NULL)
<14:10:49.643>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (201, 80, 'LH', 54, 'FRA', 'CDG', '19-SEP-2012', 300, NULL)
<14:10:49.647>Received FJDBC: INSERT INTO BUCHUNG VALUES (202, 500, 'DB', 90, 'TRU', 'FRA', '16-FEB-2011', 5000, 800)
<14:10:49.648>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (202, 500, 'DB', 90, 'TRU', 'FRA', '16-FEB-2011', 5000, 800)
<14:10:49.652>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (202, 500, 'DB', 90, 'TRU', 'FRA', '16-FEB-2011', 5000, 800)
<14:10:49.657>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (202, 500, 'DB', 90, 'TRU', 'FRA', '16-FEB-2011', 5000, 800)
<14:10:49.657>Received FJDBC: INSERT INTO BUCHUNG VALUES (203, 80, 'ZZ', 90, 'TRU', 'FRA', '16-MAY-2011', 5000, 800)
<14:10:49.657>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (203, 80, 'ZZ', 90, 'TRU', 'FRA', '16-MAY-2011', 5000, 800)
<14:10:49.657>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (203, 80, 'ZZ', 90, 'TRU', 'FRA', '16-MAY-2011', 5000, 800)
<14:10:49.657>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (203, 80, 'ZZ', 90, 'TRU', 'FRA', '16-MAY-2011', 5000, 800)
<14:10:49.673>Received FJDBC: INSERT INTO BUCHUNG VALUES (204, 81, 'DB', 90, 'ZZZ', 'FRA', '12-FEB-2010', 5000, 800)
<14:10:49.673>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (204, 81, 'DB', 90, 'ZZZ', 'FRA', '12-FEB-2010', 5000, 800)
<14:10:49.673>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (204, 81, 'DB', 90, 'ZZZ', 'FRA', '12-FEB-2010', 5000, 800)
<14:10:49.673>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (204, 81, 'DB', 90, 'ZZZ', 'FRA', '12-FEB-2010', 5000, 800)
<14:10:49.688>Received FJDBC: INSERT INTO BUCHUNG VALUES (205, 81, 'DB', 90, 'TRU', 'ZZZ', '11-FEB-2012', 5000, 800)
<14:10:49.688>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (205, 81, 'DB', 90, 'TRU', 'ZZZ', '11-FEB-2012', 5000, 800)
<14:10:49.688>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (205, 81, 'DB', 90, 'TRU', 'ZZZ', '11-FEB-2012', 5000, 800)
<14:10:49.704>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (205, 81, 'DB', 90, 'TRU', 'ZZZ', '11-FEB-2012', 5000, 800)
<14:10:49.704>Received FJDBC: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'TRU', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.704>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'TRU', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.735>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'TRU', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.735>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'TRU', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.735>Received FJDBC: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'CDG', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.735>Sending to oralv8a: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'CDG', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.752>Sending to oralv9a: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'CDG', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.757>Sending to oralv10a: INSERT INTO BUCHUNG VALUES (184, 81, 'DB', 90, 'CDG', 'FRA', '16-FEB-2010', 5000, 800)
<14:10:49.757>Received FJDBC: INSERT INTO FLUG VALUES (300, 'LH', 46, NULL, 'LHR', 2130, 2245)
<14:10:49.757>Sending to oralv8a: INSERT INTO FLUG VALUES (300, 'LH', 46, NULL, 'LHR', 2130, 2245)
<14:10:49.757>Sending to oralv9a: INSERT INTO FLUG VALUES (300, 'LH', 46, NULL, 'LHR', 2130, 2245)
<14:10:49.773>Sending to oralv10a: INSERT INTO FLUG VALUES (300, 'LH', 46, NULL, 'LHR', 2130, 2245)
<14:10:49.773>Received FJDBC: INSERT INTO FLUG VALUES (301, 'LH', 47, 'LHR', NULL, 700, 820)
<14:10:49.773>Sending to oralv8a: INSERT INTO FLUG VALUES (301, 'LH', 47, 'LHR', NULL, 700, 820)
<14:10:49.788>Sending to oralv9a: INSERT INTO FLUG VALUES (301, 'LH', 47, 'LHR', NULL, 700, 820)
<14:10:49.788>Sending to oralv10a: INSERT INTO FLUG VALUES (301, 'LH', 47, 'LHR', NULL, 700, 820)
<14:10:49.788>Received FJDBC: INSERT INTO FLUG VALUES (302, 'LH', 50, 'FRA', 'CDG', NULL, 810)
<14:10:49.788>Sending to oralv8a: INSERT INTO FLUG VALUES (302, 'LH', 50, 'FRA', 'CDG', NULL, 810)
<14:10:49.804>Sending to oralv9a: INSERT INTO FLUG VALUES (302, 'LH', 50, 'FRA', 'CDG', NULL, 810)
<14:10:49.804>Sending to oralv10a: INSERT INTO FLUG VALUES (302, 'LH', 50, 'FRA', 'CDG', NULL, 810)
<14:10:49.804>Received FJDBC: INSERT INTO FLUG VALUES (303, 'LH', 51, 'CDG', 'FRA', 930, NULL)
<14:10:49.804>Sending to oralv8a: INSERT INTO FLUG VALUES (303, 'LH', 51, 'CDG', 'FRA', 930, NULL)
<14:10:49.804>Sending to oralv9a: INSERT INTO FLUG VALUES (303, 'LH', 51, 'CDG', 'FRA', 930, NULL)
<14:10:49.820>Sending to oralv10a: INSERT INTO FLUG VALUES (303, 'LH', 51, 'CDG', 'FRA', 930, NULL)
<14:10:49.820>Received FJDBC: INSERT INTO FLUG VALUES (304, 'LH', 52, 'FRA', 'CDG', 9000, 1310)
<14:10:49.820>Sending to oralv8a: INSERT INTO FLUG VALUES (304, 'LH', 52, 'FRA', 'CDG', 9000, 1310)
<14:10:49.820>Sending to oralv9a: INSERT INTO FLUG VALUES (304, 'LH', 52, 'FRA', 'CDG', 9000, 1310)
<14:10:49.835>Sending to oralv10a: INSERT INTO FLUG VALUES (304, 'LH', 52, 'FRA', 'CDG', 9000, 1310)
<14:10:49.835>Received FJDBC: INSERT INTO FLUG VALUES (305, 'LH', 53, 'CDG', 'FRA', 1500, 9000)
<14:10:49.835>Sending to oralv8a: INSERT INTO FLUG VALUES (305, 'LH', 53, 'CDG', 'FRA', 1500, 9000)
<14:10:49.835>Sending to oralv9a: INSERT INTO FLUG VALUES (305, 'LH', 53, 'CDG', 'FRA', 1500, 9000)
<14:10:49.835>Sending to oralv10a: INSERT INTO FLUG VALUES (305, 'LH', 53, 'CDG', 'FRA', 1500, 9000)
<14:10:49.855>Received FJDBC: INSERT INTO FLUG VALUES (306, 'LH', 54, 'FRA', 'FRA', 1740, 1850)
<14:10:49.855>Sending to oralv8a: INSERT INTO FLUG VALUES (306, 'LH', 54, 'FRA', 'FRA', 1740, 1850)
<14:10:49.857>Sending to oralv9a: INSERT INTO FLUG VALUES (306, 'LH', 54, 'FRA', 'FRA', 1740, 1850)
<14:10:49.857>Sending to oralv10a: INSERT INTO FLUG VALUES (306, 'LH', 54, 'FRA', 'FRA', 1740, 1850)
<14:10:49.857>Received FJDBC: INSERT INTO FLUG VALUES (307, 'ZZ', 55, 'CDG', 'FRA', 2000, 2120)
<14:10:49.857>Sending to oralv8a: INSERT INTO FLUG VALUES (307, 'ZZ', 55, 'CDG', 'FRA', 2000, 2120)
<14:10:49.872>Sending to oralv9a: INSERT INTO FLUG VALUES (307, 'ZZ', 55, 'CDG', 'FRA', 2000, 2120)
<14:10:49.872>Sending to oralv10a: INSERT INTO FLUG VALUES (307, 'ZZ', 55, 'CDG', 'FRA', 2000, 2120)
<14:10:49.872>Received FJDBC: INSERT INTO FLUG VALUES (308, 'LH', 55, 'YYY', 'FRA', 2000, 2120)
<14:10:49.872>Sending to oralv8a: INSERT INTO FLUG VALUES (308, 'LH', 55, 'YYY', 'FRA', 2000, 2120)
<14:10:49.888>Sending to oralv9a: INSERT INTO FLUG VALUES (308, 'LH', 55, 'YYY', 'FRA', 2000, 2120)
<14:10:49.888>Sending to oralv10a: INSERT INTO FLUG VALUES (308, 'LH', 55, 'YYY', 'FRA', 2000, 2120)
<14:10:49.888>Received FJDBC: INSERT INTO FLUG VALUES (309, 'LH', 55, 'CDG', 'YYY', 2000, 2120)
<14:10:49.888>Sending to oralv8a: INSERT INTO FLUG VALUES (309, 'LH', 55, 'CDG', 'YYY', 2000, 2120)
<14:10:49.904>Sending to oralv9a: INSERT INTO FLUG VALUES (309, 'LH', 55, 'CDG', 'YYY', 2000, 2120)
<14:10:49.904>Sending to oralv10a: INSERT INTO FLUG VALUES (309, 'LH', 55, 'CDG', 'YYY', 2000, 2120)
<14:10:49.904>Received FJDBC: INSERT INTO FLUG VALUES (088, 'LH', 7, 'FRA', 'TXL', 1130, 1230)
