<23:54:27.216>Start FDBS 
<23:54:30.069>FDBS; opened connection to oralv8a 
<23:54:30.335>FDBS; opened connection to oralv9a 
<23:54:30.851>FDBS; opened connection to oralv10a 
<23:54:31.011>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('AKL', 'NZ ', 'Auckland', 'Auckland International') 
<23:54:31.032>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('AKL', 'NZ ', 'Auckland', 'Auckland International') 
<23:54:31.061>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('AKL', 'NZ ', 'Auckland', 'Auckland International') 
<23:54:31.083>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('AKL', 'NZ ', 'Auckland', 'Auckland International') 
<23:54:31.123>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ALC', 'E ', 'Alicante', 'Alicante') 
<23:54:31.124>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ALC', 'E ', 'Alicante', 'Alicante') 
<23:54:31.161>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ALC', 'E ', 'Alicante', 'Alicante') 
<23:54:31.183>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ALC', 'E ', 'Alicante', 'Alicante') 
<23:54:31.211>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ALF', 'N ', 'Alta', 'Flughafen Alta') 
<23:54:31.212>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ALF', 'N ', 'Alta', 'Flughafen Alta') 
<23:54:31.271>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ALF', 'N ', 'Alta', 'Flughafen Alta') 
<23:54:31.329>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ALF', 'N ', 'Alta', 'Flughafen Alta') 
<23:54:31.357>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ANC', 'USA', 'Anchorage', 'Ted Stevens AIA') 
<23:54:31.359>Sending to oralv8a: INSERT INTO FLUGHAFEN VALUES ('ANC', 'USA', 'Anchorage', 'Ted Stevens AIA') 
<23:54:31.390>Sending to oralv9a: INSERT INTO FLUGHAFEN VALUES ('ANC', 'USA', 'Anchorage', 'Ted Stevens AIA') 
<23:54:31.426>Sending to oralv10a: INSERT INTO FLUGHAFEN VALUES ('ANC', 'USA', 'Anchorage', 'Ted Stevens AIA') 
<23:54:31.533>Received FJDBC: INSERT INTO FLUGHAFEN VALUES ('ARN', 'S ', 'Stockholm', 'Arlanda') 
